distance_km,point,bearing_deg,lat,lon
5,1,0.0,40.957766,-74.007
5,2,72.0,40.926681,-73.950398
5,3,144.0,40.876416,-73.972045
5,4,216.0,40.876416,-74.041955
5,5,288.0,40.926681,-74.063602
10,1,0.0,41.002732,-74.007
10,2,72.0,40.940535,-73.893773
10,3,144.0,40.840022,-73.937128
10,4,216.0,40.840022,-74.076872
10,5,288.0,40.940535,-74.120227
20,1,0.0,41.092664,-74.007
20,2,72.0,40.96816,-73.780451
20,3,144.0,40.767202,-73.867409
20,4,216.0,40.767202,-74.146591
20,5,288.0,40.96816,-74.233549
40,1,0.0,41.272529,-74.007
40,2,72.0,41.023075,-73.553523
40,3,144.0,40.621437,-73.72843
40,4,216.0,40.621437,-74.28557
40,5,288.0,41.023075,-74.460477
60,1,0.0,41.452393,-74.007
60,2,72.0,41.077544,-73.326218
60,3,144.0,40.475507,-73.590055
60,4,216.0,40.475507,-74.423945
60,5,288.0,41.077544,-74.687782
80,1,0.0,41.632257,-74.007
80,2,72.0,41.131567,-73.098537
80,3,144.0,40.329411,-73.452282
80,4,216.0,40.329411,-74.561718
80,5,288.0,41.131567,-74.915463
99,1,0.0,41.803128,-74.007
99,2,72.0,41.182472,-72.881894
99,3,144.0,40.19047,-73.321948
99,4,216.0,40.19047,-74.692052
99,5,288.0,41.182472,-75.132106
